Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
Marriage Story,2019,"Comedy, Drama, Romance",137 min,7.9,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Disney+,True,2021-04-14,8.45
Ikiru,1952,Drama,143 min,8.3,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,HBO Max,True,2024-08-06,0.0
The Fighter,2010,,116 min,7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",,False,,0.0
Soorarai Pottru,2020,Drama,153 min,8.6,,Netflix,True,2017-03-19,0.0
Wait Until Dark,1967,Thriller,,7.8,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,HBO Max,True,2016-08-04,4.99
Once Upon a Time in America,1984,"Crime, Drama",,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Amazon Prime,False,2017-03-10,0.0
Aliens,1986,"Action, Adventure, Sci-Fi",,8.3,,Netflix,True,2023-10-15,
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",117 min,8.1,,Netflix,,2021-12-07,0.0
Zulu,1964,,138 min,7.7,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Disney+,True,2023-09-23,0.0
La dolce vita,1960,"Comedy, Drama",,8.0,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,,False,2020-04-18,0.0
Braveheart,1995,"Biography, Drama, History",178 min,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,,False,2019-04-27,11.37
